Full Name,Political Affiliation,Represented State,Politician Age,Years Served,Votes Received,Legislation Passed,Speeches Given,Bills Sponsored,Committees Joined
Brian White,Independent,Texas,29,18,19341,12,28,8,6
Kevin King,Democratic,NA,57,20,40959,12,49,15,7
Jason Green,Republican,California,65,5,46616,14,10,9,8
Matthew Anderson,Libertarian,Florida,47,13,40960,15,31,12,7
Laura White,Independent,Florida,57,20,40963,7,12,11,1
Sarah Johnson,Independent,Texas,52,17,27468,2,47,11,8
Matthew Anderson,Democratic,New York,31,11,29349,7,43,13,6
Kimberly Brown,Republican,Texas,39,8,31370,3,6,2,10
Thomas Hill,Libertarian,Florida,61,19,46113,19,11,3,10
Donald Hernandez,Libertarian,Florida,38,16,45025,9,16,11,1
Kenneth Davis,Independent,California,35,20,24797,15,5,15,9
Patricia Garcia,Independent,Florida,42,18,32822,8,45,7,1
Sandra Clark,Republican,Texas,58,18,31282,2,31,3,1
Brian White,Republican,New York,60,4,36991,1,27,13,10
Betty Lewis,Democratic,Florida,45,12,39241,11,34,10,3
John Smith,Republican,Ohio,67,14,27520,20,14,3,6
Richard Wright,Republican,Ohio,26,4,43024,17,19,7,6
Sharon Taylor,Democratic,California,70,8,23517,5,50,7,1
Thomas Scott,Independent,NA,26,17,30703,8,25,12,10
Matthew Anderson,Libertarian,Ohio,56,5,26632,12,13,5,4
Donna Lewis,Democratic,Ohio,62,16,38090,11,11,12,1
Kimberly Brown,Libertarian,Florida,61,14,19291,18,33,8,9
Linda Thomas,Republican,California,55,8,40424,16,39,6,8
Matthew Anderson,Democratic,California,25,17,36175,2,15,14,5
Lisa Harris,Libertarian,Florida,35,3,20305,9,10,8,1
Jason Green,Independent,California,46,7,22970,5,10,15,7
Jason Green,Republican,Florida,41,2,40070,13,39,7,7
Ronald Anderson,Republican,New York,56,13,22932,3,8,10,3
Laura White,Democratic,NA,41,18,43674,13,46,11,7
Jessica Anderson,Libertarian,Texas,46,10,32784,13,39,9,4
Daniel Taylor,Independent,California,35,15,34946,16,14,12,5
Sarah Johnson,Independent,Florida,39,8,22124,15,42,3,3
Helen Taylor,Democratic,New York,56,13,38962,4,31,6,6
Jennifer Miller,Independent,California,68,13,21369,19,39,10,3
Jason Green,Independent,Texas,28,8,21881,19,33,6,7
Betty Lewis,Independent,Florida,27,3,35036,6,28,8,8
Margaret Moore,Independent,California,55,19,15946,6,18,2,5
Sandra Clark,Democratic,Texas,55,19,30848,10,50,14,5
Maria Gonzalez,Libertarian,Ohio,63,3,31063,2,44,5,1
Kenneth Davis,Libertarian,Florida,43,6,33099,6,34,7,4
Sarah Johnson,Libertarian,New York,51,18,28930,19,10,15,5
Michelle Wilson,Republican,Ohio,33,5,30741,1,30,6,8
Susan Lee,Republican,Ohio,29,8,38347,10,11,4,3
Maria Gonzalez,Independent,Texas,41,12,10801,15,23,11,5
Sarah Johnson,Republican,California,30,12,17519,9,46,11,2
Edward Martin,Independent,California,37,9,41548,16,13,13,5
Helen Taylor,Independent,California,33,20,17520,15,38,4,2
Maria Gonzalez,Republican,New York,35,8,48723,13,19,12,6
Michelle Wilson,Democratic,Ohio,63,12,20089,5,41,12,6
Karen Perez,Republican,Texas,63,18,32390,15,35,13,2
Jennifer Miller,Democratic,Florida,63,13,17338,17,47,4,4
Dorothy Lopez,Democratic,Florida,33,11,40015,15,7,15,7
Thomas Scott,Republican,NA,67,11,17509,2,31,13,8
Karen Perez,Libertarian,Texas,54,4,36508,10,40,6,10
Thomas Hill,Independent,California,52,15,22302,12,40,4,1
Richard Wright,Libertarian,Texas,40,9,15640,13,48,9,4
Paul Jones,Libertarian,Ohio,68,17,47280,4,14,10,4
Helen Taylor,Libertarian,Texas,33,10,20812,15,5,9,10
Lisa Harris,Libertarian,New York,25,18,26679,2,41,14,7
Donald Hernandez,Libertarian,Ohio,43,17,41111,12,41,4,2
David Martinez,Republican,Florida,60,10,48294,18,29,11,6
